router,memory,model,ticket_id,kb_attached,result,accuracy,groundedness,schema_validity,latency_ms,cost_usd,model_used,json_valid,schema_valid,gold_category,predicted_category
llm_first,none,slm1,0,False,success,0,0.0,1,1291.6702000075,0.0001585,slm,True,True,hardware,miscellaneous
llm_first,none,slm1,1,False,success,0,0.0,1,316.440300026442,0.0001605,slm,True,True,access,miscellaneous
llm_first,none,slm1,2,False,success,0,0.0,1,326.776300003984,0.0001565,slm,True,True,hardware,miscellaneous
llm_first,none,slm1,3,False,success,1,0.0,1,297.079200012376,0.0002635,slm,True,True,access,access
llm_first,none,slm1,4,False,success,1,0.0,1,720.945399982156,0.000159,slm,True,True,miscellaneous,miscellaneous
llm_first,none,slm1,5,False,success,1,0.0,1,311.481899989303,0.0001585,slm,True,True,miscellaneous,miscellaneous
llm_first,none,slm1,6,False,success,0,0.0,1,321.099099994171,0.000258,slm,True,True,hardware,administrative rights
llm_first,none,slm1,7,False,success,0,0.0,1,321.234700008062,0.000153,slm,True,True,hr support,access
llm_first,none,slm1,8,False,success,1,0.0,1,526.057599985506,0.0001545,slm,True,True,access,access
llm_first,none,slm1,9,False,success,1,0.0,1,524.459400010528,0.00888,llm,True,True,hr support,hr support
llm_first,none,slm1,10,False,success,1,0.0,1,307.615400000941,0.0001615,slm,True,True,hardware,hardware
llm_first,none,slm1,11,False,success,0,0.0,1,329.825699998764,0.00754,llm,True,True,miscellaneous,hardware
llm_first,none,slm1,12,False,success,0,0.0,1,327.592499990714,0.000149,slm,True,True,hr support,miscellaneous
llm_first,none,slm1,13,False,success,0,0.0,1,318.96139998571,0.0001585,slm,True,True,access,miscellaneous
llm_first,none,slm1,14,False,success,0,0.0,1,429.0931999858,0.0001615,slm,True,True,purchase,hardware
llm_first,none,slm1,15,False,success,1,0.0,1,319.222899997839,0.0001665,slm,True,True,access,access
llm_first,none,slm1,16,False,success,0,0.0,1,315.369600022677,0.000156,slm,True,True,purchase,miscellaneous
llm_first,none,slm1,17,False,success,0,0.0,1,336.126099980901,0.00786,llm,True,True,purchase,access
llm_first,none,slm1,18,False,success,0,0.0,1,325.55529999081,0.000274,slm,True,True,hardware,hr support
llm_first,none,slm1,19,False,success,1,0.0,1,313.865100004477,0.0001675,slm,True,True,miscellaneous,miscellaneous
llm_first,none,slm1,20,False,success,0,0.0,1,310.969799989834,0.00724,llm,True,True,administrative rights,hardware
llm_first,none,slm1,21,False,success,0,0.0,1,308.143400005064,0.0001719999999999,slm,True,True,hr support,internal project
llm_first,none,slm1,22,False,success,0,0.0,1,306.26630000188,0.0001635,slm,True,True,hr support,hardware
llm_first,none,slm1,23,False,success,1,0.0,1,316.381400014506,0.000157,slm,True,True,access,access
llm_first,none,slm1,24,False,success,0,0.0,1,311.99529999867,0.0001675,slm,True,True,purchase,hardware
llm_first,none,slm1,25,False,success,0,0.0,1,321.367500000633,0.000176,slm,True,True,purchase,administrative rights
llm_first,none,slm1,26,False,success,1,0.0,1,314.357099996414,0.0001605,slm,True,True,access,access
llm_first,none,slm1,27,False,success,1,0.0,1,317.643300018971,0.0070799999999999,llm,True,True,hr support,hr support
llm_first,none,slm1,28,False,success,0,0.0,1,307.767500024056,0.0001595,slm,True,True,miscellaneous,internal project
llm_first,none,slm1,29,False,success,1,0.0,1,360.40520001552,0.0001525,slm,True,True,hardware,hardware
llm_first,none,slm1,30,False,success,0,0.0,1,291.124200011836,0.000163,slm,True,True,hardware,miscellaneous
llm_first,none,slm1,31,False,success,0,0.0,1,445.540500018978,0.0001535,slm,True,True,hardware,access
llm_first,none,slm1,32,False,success,0,0.0,1,317.561000003479,0.0001754999999999,slm,True,True,purchase,administrative rights
llm_first,none,slm1,33,False,success,1,0.0,1,316.551600000821,0.000148,slm,True,True,access,access
llm_first,none,slm1,34,False,success,0,0.0,1,315.26540001505,0.0001935,slm,True,True,hardware,internal project
llm_first,none,slm1,35,False,success,0,0.0,1,331.32579998346,0.0001625,slm,True,True,storage,miscellaneous
llm_first,none,slm1,36,False,success,0,0.0,1,340.323099982924,0.0001754999999999,slm,True,True,purchase,administrative rights
llm_first,none,slm1,37,False,success,0,0.0,1,463.554299989482,0.0001625,slm,True,True,internal project,miscellaneous
llm_first,none,slm1,38,False,success,0,0.0,1,420.252100011566,0.000162,slm,True,True,storage,access
llm_first,none,slm1,39,False,success,0,0.0,1,342.24689999246,0.0109,llm,True,True,hr support,miscellaneous
llm_first,none,slm1,40,False,success,0,0.0,1,382.877299998654,0.0114799999999999,llm,True,True,hr support,miscellaneous
llm_first,none,slm1,41,False,success,0,0.0,1,310.765600006561,0.000173,slm,True,True,purchase,administrative rights
llm_first,none,slm1,42,False,success,0,0.0,1,334.386400005314,0.000192,slm,True,True,hardware,access
llm_first,none,slm1,43,False,success,0,0.0,1,302.313099993625,0.000164,slm,True,True,hr support,access
llm_first,none,slm1,44,False,success,0,0.0,1,329.007799999089,0.00756,llm,True,True,miscellaneous,internal project
llm_first,none,slm1,45,False,success,0,0.0,1,307.725499995285,0.0001595,slm,True,True,storage,access
llm_first,none,slm1,46,False,success,1,0.0,1,295.344999991357,0.0001645,slm,True,True,miscellaneous,miscellaneous
llm_first,none,slm1,47,False,success,0,0.0,1,305.689000000711,0.0002044999999999,slm,True,True,access,hardware
llm_first,none,slm1,48,False,success,1,0.0,1,307.827000011457,0.0001575,slm,True,True,miscellaneous,miscellaneous
llm_first,none,slm1,49,False,success,1,0.0,1,300.141600018832,0.0001525,slm,True,True,access,access
llm_first,none,slm1,50,False,success,0,0.0,1,329.507799993734,0.0001695,slm,True,True,purchase,administrative rights
llm_first,none,slm1,51,False,success,0,0.0,1,345.52140001324,0.00954,llm,True,True,hr support,access
llm_first,none,slm1,52,False,success,1,0.0,1,327.862300007836,0.000163,slm,True,True,storage,storage
llm_first,none,slm1,53,False,success,0,0.0,1,313.735500007169,0.0001764999999999,slm,True,True,purchase,administrative rights
llm_first,none,slm1,54,False,success,0,0.0,1,317.23059999058,0.000154,slm,True,True,purchase,miscellaneous
llm_first,none,slm1,55,False,success,1,0.0,1,456.605999992461,0.0001495,slm,True,True,miscellaneous,miscellaneous
llm_first,none,slm1,56,False,success,0,0.0,1,348.043499980121,0.000155,slm,True,True,hr support,miscellaneous
llm_first,none,slm1,57,False,success,1,0.0,1,329.964400007156,0.000216,slm,True,True,access,access
llm_first,none,slm1,58,False,success,1,0.0,1,300.529000000096,0.0001515,slm,True,True,access,access
llm_first,none,slm1,59,False,success,0,0.0,1,302.199600002495,0.0001595,slm,True,True,purchase,miscellaneous
llm_first,none,slm1,60,False,success,0,0.0,1,311.41579998075,0.000155,slm,True,True,hr support,access
llm_first,none,slm1,61,False,success,0,0.0,1,326.040699990699,0.0001695,slm,True,True,hardware,storage
llm_first,none,slm1,62,False,success,0,0.0,1,309.754799993243,0.000154,slm,True,True,hr support,miscellaneous
llm_first,none,slm1,63,False,success,0,0.0,1,308.483000000705,0.000156,slm,True,True,storage,access
llm_first,none,slm1,64,False,success,0,0.0,1,328.963399981148,0.0087,llm,True,True,miscellaneous,access
